Date,AAPL.O,MSFT.O,INTC.O,AMZN.O,GS.N,SPY,EUR=,XAU=,GDX,GLD
2013-07-02,14.946056482500001,33.94,23.72,14.186500000000002,150.92,161.21,1.2977,1241.39,23.75,120.05
2013-07-03,15.028556400000001,34.01,23.762,14.2015,150.43,161.28,1.3006,1251.19,24.18,120.74
2013-07-04,,,,,,,1.2913,1249.19,,
2013-07-05,14.907842235000002,34.21,24.06,14.294,153.24,163.02,1.283,1223.31,23.42,118.09
2013-07-08,14.823199462500002,34.325,23.185,14.529499999999999,153.81,163.945,1.2869,1235.89,22.9,119.51
2013-07-09,15.083913487500002,34.35,23.135,14.5765,156.94,165.13,1.278,1248.84,23.22,120.62
2013-07-10,15.026056402500002,34.7,23.25,14.6165,155.83,165.192,1.2974,1263.64,23.19,120.95
2013-07-11,15.260270454000002,35.685,23.99,14.983000000000002,157.71,167.44,1.3094,1284.69,24.97,124.24
2013-07-12,15.2324847675,35.67,23.9,15.377500000000001,160.11,167.51,1.3066,1284.29,24.37,124.13
2013-07-15,15.265699020000001,36.17,23.94,15.3285,163.0,168.155,1.3062,1281.99,24.29,124.18
2013-07-16,15.364091778750002,36.27,24.25,15.3435,160.24,167.525,1.3161,1291.99,25.65,124.89
2013-07-17,15.3681989175,35.74,24.15,15.4345,161.5,167.9501,1.3124,1275.39,24.88,123.32
2013-07-18,15.419913151500001,35.44,23.244,15.2055,164.06,168.87,1.3109,1284.49,24.7801,124.01
2013-07-19,15.176770537500001,31.4,23.04,15.261500000000002,164.36,169.17,1.3142,1295.74,25.86,125.11
2013-07-22,15.225341917500002,32.01,22.77,15.174000000000001,166.25,169.5,1.3183,1335.04,27.44,128.84
2013-07-23,14.963913607500002,31.82,22.75,15.053,166.26,169.14,1.3221,1347.49,28.35,129.71
2013-07-24,15.7324842675,31.96,22.93,14.947000000000001,165.04,168.52,1.32,1320.69,26.95,127.48
2013-07-25,15.660698625000002,31.39,23.06,15.17,165.91,168.93,1.3276,1333.04,27.21,128.67
2013-07-26,15.749627107500002,31.62,23.26,15.6005,165.26,169.11,1.3278,1333.29,27.578,128.78
2013-07-29,15.992484007500002,31.54,23.24,15.305000000000001,163.17,168.59,1.326,1326.99,27.23,128.47
2013-07-30,16.18998381,31.85,23.38,15.120500000000002,162.43,168.588,1.3262,1326.69,27.06,128.12
2013-07-31,16.1617695525,31.84,23.335,15.061000000000002,164.03,168.71,1.33,1322.49,26.99,127.96
2013-08-01,16.309840833000003,31.67,23.2,15.278500000000001,167.49,170.66,1.3206,1308.84,26.17,126.61
2013-08-02,16.519269195000003,31.89,23.22,15.2105,167.62,170.95,1.3281,1311.5,25.59,126.36
2013-08-05,16.7660546625,31.7,22.924,15.049500000000002,168.32,170.7,1.3257,1303.34,25.43,125.7
2013-08-06,16.6160548125,31.58,22.8,15.037500000000001,164.78,169.73,1.3305,1281.29,24.03,123.97
2013-08-07,16.606411965000003,32.063,22.7,14.845500000000001,163.45,169.18,1.3336,1287.14,23.94,124.15
2013-08-08,16.4646263925,32.89,22.45,14.787,162.84,169.8,1.3379,1311.39,26.0,126.86
2013-08-09,16.2303409125,32.7,22.51,14.863,162.13,169.31,1.3342,1314.0,26.47,126.86
2013-08-12,16.69141188,32.87,22.64,14.8345,161.69,169.111,1.3298,1335.79,28.01,129.13
